"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
185064;2019-01-13;"domingo";"23:30:00";"SP";116;208;"GUARULHOS";"Falta de Atenção à Condução";"Atropelamento de Pedestre";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Nublado";"Múltipla";"Reta";"Não";2;1;0;0;0;1;0;1;"-23.42482913";"-46.39989853";"SR-SP";"DEL6/1";"UOP01/SP"
185066;2019-01-13;"domingo";"22:45:00";"CE";222;8,3;"CAUCAIA";"Ingestão de Álcool";"Capotamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-3.753637";"-38.638035";"SR-CE";"DEL16/1";"UOP01/CE"
185067;2019-01-13;"domingo";"22:15:00";"SC";101;417,7;"ARARANGUA";"Desobediência às normas de trânsito pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;2;0;0;2;2;"-28.9841924";"-49.54031467";"SR-SC";"DEL8/2";"UOP02/SC"
185068;2019-01-13;"domingo";"20:30:00";"RJ";101;574;"PARATY";"Velocidade Incompatível";"Colisão com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;1;0;1;1;"-23.19791";"-44.7281";"SR-RJ";"DEL5/3";"UOP04/RJ"
185069;2019-01-13;"domingo";"22:20:00";"BA";135;184;"BARREIRAS";"Ingestão de Álcool";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;0;0;1;0;1;"-12.18861979";"-45.01244851";"SR-BA";"DEL10/10";"UOP01/BA"
185070;2019-01-13;"domingo";"22:30:00";"PR";277;537,2;"IBEMA";"Defeito Mecânico no Veículo";"Incêndio";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Não";4;0;0;0;4;0;0;1;"-25.10876166";"-53.01778793";"SR-PR";"DEL7/4";"UOP02/PR"
185071;2019-01-13;"domingo";"22:20:00";"PB";230;66,1;"SAO MIGUEL DE TAIPU";"Velocidade Incompatível";"Colisão traseira";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";2;0;0;1;1;0;1;2;"-7.18526268";"-35.19839787";"SR-PB";"DEL14/1";"UOP03/PB"
185072;2019-01-13;"domingo";"21:45:00";"SP";381;84,8;"SAO PAULO";"Não guardar distância de segurança";"Tombamento";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Reta";"Sim";1;0;1;0;0;0;1;1;"-23.45159321";"-46.5707016";"SR-SP";"DEL6/3";"UOP02/SP"
185074;2019-01-13;"domingo";"22:30:00";"SP";116;496,5;"CAJATI";"Condutor Dormindo";"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";1;0;0;0;1;0;0;1;"-24.7693616";"-48.15170288";"SR-SP";"DEL6/5";"UOP02/SP"
185075;2019-01-13;"domingo";"23:50:00";"ES";101;264;"SERRA";"Pista Escorregadia";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Chuva";"Múltipla";"Reta";"Sim";2;0;0;1;1;0;1;2;"-20.17860342";"-40.26527437";"SR-ES";"DEL12/2";"UOP01/ES"
185076;2019-01-13;"domingo";"23:50:00";"RS";290;0;"OSORIO";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Fatais";"Plena Noite";"Crescente";"Nublado";"Dupla";"Não Informado";"Sim";2;1;0;0;0;1;0;1;"-29.894957";"-50.286026";"SR-RS";"DEL9/3";"UOP02/RS"
